mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,zcr,rms,spec_cent,spec_bw,rolloff,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12,fileName,label
-218.2273406982422,116.21427154541016,-73.00111389160156,-18.334850311279297,-20.385299682617188,-17.673770904541016,-10.071420669555664,-6.3437676429748535,-9.508646011352539,5.127993583679199,-7.859113693237305,-6.51872444152832,-5.72085428237915,-9.031314849853516,-11.73729419708252,-1.6978214979171753,-10.692843437194824,-1.365517258644104,-6.107827663421631,-1.520550012588501,0.11085457149071926,0.04887880012392998,1815.766830543528,1639.3624554352427,3033.6086476761893,0.636245846748352,0.5774964094161987,0.5353936553001404,0.5836870670318604,0.6194416284561157,0.6332844495773315,0.6975234150886536,0.7531033158302307,0.6835793256759644,0.635082483291626,0.6150990128517151,0.625340461730957,biden-original_clip_0.wav,0
-207.42774963378906,118.95252990722656,-60.999671936035156,-14.955451965332031,-15.361607551574707,-10.254800796508789,-6.798144340515137,-11.72397518157959,-10.708374977111816,-1.1444669961929321,-8.710522651672363,-2.3371827602386475,-8.132840156555176,-13.839132308959961,-10.683121681213379,-2.0486695766448975,-10.069282531738281,-1.0204445123672485,-7.921469211578369,-3.459951877593994,0.10776967626160093,0.05592449754476547,1802.5676443199854,1715.591687226883,3011.650775812065,0.4976697862148285,0.49662521481513977,0.6184883117675781,0.6057636737823486,0.629612147808075,0.6896652579307556,0.6350102424621582,0.6026368737220764,0.575926661491394,0.553681492805481,0.6067904233932495,0.5776978135108948,biden-original_clip_1.wav,0
-237.3325958251953,106.4229507446289,-55.36109161376953,-14.487008094787598,-20.811508178710938,-12.372424125671387,-12.522815704345703,-6.071962356567383,-9.196048736572266,-4.501290321350098,-7.771842956542969,-2.7646775245666504,-6.259321689605713,-7.8633809089660645,-11.09184455871582,-3.0964109897613525,-11.525059700012207,-4.367833614349365,-13.313692092895508,-6.726611137390137,0.11965383011890951,0.04633316397666931,1945.4307912619554,1773.9842144121637,3204.050695149362,0.523496687412262,0.602250337600708,0.7229222059249878,0.7134776711463928,0.5664582848548889,0.5163037776947021,0.5097269415855408,0.5467090606689453,0.5479687452316284,0.5692877173423767,0.6100357174873352,0.5855553150177002,biden-original_clip_10.wav,0
-330.5677185058594,143.02947998046875,-36.52019119262695,-11.8356294631958,-5.583183288574219,-8.133965492248535,-12.369908332824707,-9.89515209197998,-8.5445556640625,-2.6964101791381836,-3.882075309753418,-4.608031272888184,-5.4187211990356445,-11.214784622192383,-11.237688064575195,-2.5335845947265625,-11.478008270263672,-4.162854194641113,-7.136054515838623,-6.305758476257324,0.08418603175754061,0.0320439338684082,1461.7538884664052,1534.5846345360553,2352.1901849804235,0.5411189198493958,0.5360072255134583,0.5964533090591431,0.6237590312957764,0.6360535025596619,0.5936019420623779,0.6374315619468689,0.6890062093734741,0.5563450455665588,0.5502495765686035,0.5739142298698425,0.546156644821167,biden-original_clip_11.wav,0
-295.6852111816406,115.7378921508789,-35.2448844909668,-9.705541610717773,-8.814017295837402,-1.8991330862045288,-9.430088996887207,-10.482083320617676,-11.849661827087402,-2.2317161560058594,-2.0585579872131348,-2.1607666015625,-6.224889278411865,-7.089512825012207,-9.961840629577637,-2.146937608718872,-12.12397289276123,-5.586690425872803,-7.9987406730651855,-9.229957580566406,0.11265588747099768,0.03782590478658676,1860.7497559629396,1737.985558603995,3138.326962641386,0.5114102363586426,0.5896522402763367,0.6207404136657715,0.5900242328643799,0.5877627730369568,0.5756712555885315,0.5841882824897766,0.5469694137573242,0.5989519953727722,0.619620144367218,0.5671194791793823,0.5129867792129517,biden-original_clip_12.wav,0
-263.16339111328125,125.25283813476562,-52.62085723876953,-11.551138877868652,-15.059857368469238,-6.607926368713379,-12.203660011291504,-9.296890258789062,-5.585738182067871,-2.279261827468872,-4.567739009857178,-2.7238078117370605,-6.736207485198975,-6.912619113922119,-8.121129989624023,-1.5553146600723267,-15.771527290344238,-6.043783187866211,-10.981938362121582,-8.067602157592773,0.09859995830916474,0.043236345052719116,1679.2221842325712,1609.021485602288,2755.8003507468097,0.6276400685310364,0.5961702466011047,0.5678062438964844,0.5371729135513306,0.5280343294143677,0.6061061024665833,0.6234056353569031,0.5485667586326599,0.6155191659927368,0.6192968487739563,0.5545668005943298,0.5813148021697998,biden-original_clip_13.wav,0
-264.99383544921875,117.16435241699219,-48.768310546875,-6.967541694641113,-7.107479572296143,-3.2640695571899414,-14.864434242248535,-10.62210464477539,-10.526474952697754,-6.457534313201904,-6.556766510009766,-3.8549575805664062,-8.750497817993164,-7.6110148429870605,-8.039437294006348,-0.6849820017814636,-16.183353424072266,-6.458792686462402,-9.900240898132324,-11.974287986755371,0.10077739812935035,0.045455798506736755,1768.3220404042731,1722.4235880966546,2940.9309404908645,0.564538300037384,0.6272894740104675,0.6646737456321716,0.5850803852081299,0.5059192180633545,0.5743335485458374,0.5454292893409729,0.5243088603019714,0.6138166785240173,0.5881394147872925,0.5877540707588196,0.5204892158508301,biden-original_clip_14.wav,0
-294.13916015625,117.19706726074219,-39.18796157836914,-6.071639537811279,-5.623872756958008,-5.610913276672363,-13.811284065246582,-13.011157035827637,-7.082653045654297,-2.7357449531555176,-5.115788459777832,-4.505766868591309,-6.180971145629883,-7.315572261810303,-7.891242027282715,-2.674964189529419,-15.242441177368164,-3.0478298664093018,-6.915288925170898,-12.041043281555176,0.10602500543793504,0.03983249515295029,1818.9377557362134,1720.7782735645117,3086.592318010441,0.523192286491394,0.5790132284164429,0.6076791286468506,0.4943784177303314,0.4621003270149231,0.5042051672935486,0.4854661524295807,0.5013075470924377,0.6187071204185486,0.5795110464096069,0.5276712775230408,0.49180087447166443,biden-original_clip_15.wav,0
-293.94659423828125,124.8075180053711,-50.78493881225586,-13.66752815246582,-14.177325248718262,-8.675296783447266,-6.545069217681885,-6.497502326965332,-10.46600341796875,0.6959407925605774,-5.197216987609863,-3.6879913806915283,-6.328709125518799,-6.672350883483887,-7.161606311798096,-2.0902819633483887,-12.628217697143555,-4.771703243255615,-9.411599159240723,-8.76303768157959,0.09780805901972157,0.03145506605505943,1703.0226765290888,1710.342103648034,2888.5468024941997,0.626365065574646,0.6420904994010925,0.6210192441940308,0.5749182105064392,0.5362338423728943,0.5739162564277649,0.5903161764144897,0.5972505807876587,0.6461435556411743,0.6240696310997009,0.5788291096687317,0.6025283932685852,biden-original_clip_16.wav,0
-269.77532958984375,116.40167236328125,-44.49002456665039,-11.135711669921875,-18.2237606048584,-9.940912246704102,-10.782147407531738,-10.185873985290527,-11.954422950744629,-0.3302482068538666,-2.582537889480591,-5.619954586029053,-5.190535545349121,-7.803753852844238,-11.757328033447266,-0.5624966621398926,-13.773686408996582,-4.287745952606201,-9.069984436035156,-7.729553699493408,0.11037648636890951,0.040757402777671814,1812.1829105103657,1743.4474858770727,2980.0504255184164,0.5816341042518616,0.5710318684577942,0.5394932627677917,0.5783717036247253,0.556742250919342,0.5782972574234009,0.5774219036102295,0.5714389681816101,0.6756856441497803,0.6212777495384216,0.5467153787612915,0.529443621635437,biden-original_clip_17.wav,0
