mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,zcr,rms,spec_cent,spec_bw,rolloff,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12,fileName,label
-224.26641845703125,114.43021392822266,-71.7502212524414,-18.227510452270508,-19.81857681274414,-17.36676788330078,-9.921446800231934,-6.412659168243408,-9.52076244354248,4.945298671722412,-7.794056415557861,-6.361891269683838,-5.572587966918945,-8.897799491882324,-11.650346755981445,-1.6504795551300049,-10.55121898651123,-1.3496637344360352,-5.983616352081299,-1.4669674634933472,0.10867939747679814,0.04847631976008415,1808.0148102165151,1633.632771414442,3023.816286162268,0.6324121356010437,0.5761120915412903,0.5324581265449524,0.5791976451873779,0.6146431565284729,0.6269229054450989,0.6893728375434875,0.7421188354492188,0.6779394745826721,0.6276881694793701,0.608345627784729,0.616969883441925,biden-original_clip_0_vtlp.wav,0
-214.44406127929688,117.7890625,-59.898101806640625,-14.491825103759766,-14.869361877441406,-9.992426872253418,-6.569322109222412,-11.621932029724121,-10.49259090423584,-0.9384891390800476,-8.46517276763916,-2.3093605041503906,-7.860378742218018,-13.525703430175781,-10.408697128295898,-1.9911282062530518,-9.92993450164795,-0.8989225029945374,-7.700509548187256,-3.374068260192871,0.10610204285092807,0.0544750839471817,1787.5361801853026,1703.5739245790596,2992.0160917560906,0.5005886554718018,0.5002769231796265,0.6157926321029663,0.6059556007385254,0.6330207586288452,0.6852880120277405,0.6319283246994019,0.6060424447059631,0.579845666885376,0.5573128461837769,0.6018487811088562,0.5731831192970276,biden-original_clip_1_vtlp.wav,0
-244.18833923339844,104.95350646972656,-54.04593276977539,-14.06026840209961,-20.318565368652344,-11.955242156982422,-12.365474700927734,-6.101585388183594,-9.026641845703125,-4.537438869476318,-7.558322906494141,-2.756915330886841,-6.225831985473633,-7.917478084564209,-10.804637908935547,-3.067202568054199,-11.399801254272461,-4.4940104484558105,-13.310065269470215,-6.706447124481201,0.11743673868909513,0.04543221369385719,1936.4953851731593,1767.8571494714542,3197.8055666328305,0.529032826423645,0.5499471426010132,0.678499162197113,0.7241343855857849,0.6185434460639954,0.5199528932571411,0.49616295099258423,0.5327801704406738,0.5343084931373596,0.5654404163360596,0.5768287181854248,0.6051217317581177,biden-original_clip_10_vtlp.wav,0
-334.40167236328125,140.3956298828125,-35.88765335083008,-11.553969383239746,-5.620057106018066,-7.894721031188965,-12.284356117248535,-9.746721267700195,-8.570481300354004,-2.8548481464385986,-3.779684543609619,-4.540859699249268,-5.442855358123779,-11.123266220092773,-11.206964492797852,-2.4894447326660156,-11.255480766296387,-3.9658687114715576,-6.996302127838135,-6.146735191345215,0.08261016350058005,0.03196411579847336,1461.1691651803503,1537.7726106946275,2360.3588130800463,0.5352255702018738,0.5283753871917725,0.5894033908843994,0.6174206137657166,0.6320794820785522,0.5878657102584839,0.6276870369911194,0.6794183850288391,0.5500443577766418,0.545442521572113,0.563591718673706,0.5388932824134827,biden-original_clip_11_vtlp.wav,0
-299.9068908691406,114.23594665527344,-34.37049865722656,-9.679746627807617,-8.76732063293457,-2.0755932331085205,-9.072921752929688,-10.551952362060547,-11.894977569580078,-2.2822887897491455,-2.160902500152588,-2.151397943496704,-6.163642406463623,-7.029996871948242,-9.930843353271484,-2.065837860107422,-12.00629997253418,-5.67065954208374,-8.069260597229004,-9.113265037536621,0.11022920896171694,0.03771638497710228,1845.0896307932378,1726.9422512127644,3116.069324608469,0.50895756483078,0.5844960808753967,0.6201903820037842,0.5880857706069946,0.5842794179916382,0.5707836747169495,0.5824230313301086,0.5386096835136414,0.5893756747245789,0.6170877814292908,0.5638766288757324,0.5105158090591431,biden-original_clip_12_vtlp.wav,0
-268.2773742675781,123.1917953491211,-51.94017028808594,-11.452473640441895,-15.028450965881348,-6.4659552574157715,-11.823466300964355,-9.10981559753418,-5.296664714813232,-2.039260149002075,-4.471269130706787,-2.7221312522888184,-6.662874698638916,-6.641869068145752,-7.830360412597656,-1.4821280241012573,-15.52177906036377,-5.948733329772949,-10.647021293640137,-8.054025650024414,0.09734923325116009,0.04249943420290947,1667.0651215456633,1594.8299092002524,2737.9892442176624,0.6245971322059631,0.5914579033851624,0.5615633130073547,0.528957188129425,0.5199836492538452,0.6001319289207458,0.6184116005897522,0.544356644153595,0.6088255643844604,0.612514853477478,0.5473575592041016,0.5758914947509766,biden-original_clip_13_vtlp.wav,0
-270.64996337890625,115.73336029052734,-48.05492401123047,-6.846438407897949,-6.834399223327637,-3.0921220779418945,-14.485898971557617,-10.58787727355957,-10.50275707244873,-6.387045383453369,-6.49703311920166,-4.006145477294922,-8.65776538848877,-7.645620346069336,-7.901875972747803,-0.6286957859992981,-15.941655158996582,-6.445155143737793,-9.727736473083496,-11.822211265563965,0.09869398926914154,0.045262567698955536,1746.1072545065176,1701.1575827596873,2900.4874882178074,0.5464834570884705,0.6146439909934998,0.6534234285354614,0.5912647247314453,0.5005245208740234,0.5609617829322815,0.5482564568519592,0.5117037892341614,0.6015087366104126,0.5831933617591858,0.5879698991775513,0.5196883082389832,biden-original_clip_14_vtlp.wav,0
-298.5016174316406,114.7793197631836,-38.396427154541016,-6.048309326171875,-5.745316028594971,-5.57568883895874,-13.231669425964355,-12.90981388092041,-7.006320476531982,-2.604724884033203,-4.918388843536377,-4.454771995544434,-6.28092622756958,-7.179508686065674,-7.892111301422119,-2.751561403274536,-15.005831718444824,-2.9166042804718018,-6.684420108795166,-11.68187427520752,0.10464739522911833,0.03956011310219765,1810.5206359698018,1714.3325933975984,3075.7507749057427,0.5130580067634583,0.5722612142562866,0.6005333065986633,0.4890717566013336,0.4596402049064636,0.5018260478973389,0.48395732045173645,0.49871769547462463,0.6141262054443359,0.5730839967727661,0.5178355574607849,0.47948673367500305,biden-original_clip_15_vtlp.wav,0
-297.7054443359375,122.55409240722656,-50.18891906738281,-13.500223159790039,-14.139802932739258,-8.694918632507324,-6.5219011306762695,-6.372486591339111,-10.368169784545898,0.7577677965164185,-5.206249713897705,-3.623830556869507,-6.278102874755859,-6.6606268882751465,-7.119129180908203,-1.9714527130126953,-12.507593154907227,-4.688416481018066,-9.366026878356934,-8.654531478881836,0.09606112238979118,0.03139158710837364,1699.6240127551048,1706.2286877193094,2893.068275540168,0.6215811371803284,0.6328052878379822,0.6130736470222473,0.5715742111206055,0.5304657816886902,0.5662714838981628,0.58473140001297,0.5926048159599304,0.6387110352516174,0.6158474087715149,0.5745800137519836,0.5997409820556641,biden-original_clip_16_vtlp.wav,0
-273.43115234375,114.4837417602539,-43.97286605834961,-11.215506553649902,-17.983945846557617,-9.857650756835938,-10.804408073425293,-9.996305465698242,-11.732317924499512,-0.4774656295776367,-2.6868865489959717,-5.515661239624023,-5.348490238189697,-7.76873254776001,-11.65710163116455,-0.5905181765556335,-13.675207138061523,-4.088644981384277,-8.932329177856445,-7.623950004577637,0.10866353683294663,0.04069500043988228,1797.1290876383985,1728.9269878194277,2946.3517120432134,0.5705441236495972,0.5639959573745728,0.530003547668457,0.56657874584198,0.5494233965873718,0.5698378682136536,0.5682092308998108,0.5602414011955261,0.6655933260917664,0.610493540763855,0.5372198820114136,0.5171762108802795,biden-original_clip_17_vtlp.wav,0
